Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.434.729
TOTAL;TOTAL;Mujeres;778.419
TOTAL;TOTAL;Hombres;656.310
TOTAL;España;Ambos Sexos;1.384.934
TOTAL;España;Mujeres;748.543
TOTAL;España;Hombres;636.391
TOTAL;Unión Europea (27);Ambos Sexos;21.032
TOTAL;Unión Europea (27);Mujeres;12.975
TOTAL;Unión Europea (27);Hombres;8.057
TOTAL;Resto de Europa;Ambos Sexos;4.393
TOTAL;Resto de Europa;Mujeres;2.841
TOTAL;Resto de Europa;Hombres;1.552
TOTAL;EE.UU. y Canadá;Ambos Sexos;498
TOTAL;EE.UU. y Canadá;Mujeres;295
TOTAL;EE.UU. y Canadá;Hombres;203
TOTAL;América Latina y Caribe;Ambos Sexos;13.962
TOTAL;América Latina y Caribe;Mujeres;8.500
TOTAL;América Latina y Caribe;Hombres;5.462
TOTAL;Norte de África;Ambos Sexos;4.418
TOTAL;Norte de África;Mujeres;2.275
TOTAL;Norte de África;Hombres;2.143
TOTAL;Resto de África;Ambos Sexos;1.435
TOTAL;Resto de África;Mujeres;624
TOTAL;Resto de África;Hombres;811
TOTAL;Asia y Oceanía;Ambos Sexos;4.057
TOTAL;Asia y Oceanía;Mujeres;2.366
TOTAL;Asia y Oceanía;Hombres;1.691
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.230.683
Total Universidades Presenciales;TOTAL;Mujeres;664.720
Total Universidades Presenciales;TOTAL;Hombres;565.963
Total Universidades Presenciales;España;Ambos Sexos;1.186.320
Total Universidades Presenciales;España;Mujeres;638.587
Total Universidades Presenciales;España;Hombres;547.733
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;18.600
Total Universidades Presenciales;Unión Europea (27);Mujeres;11.180
Total Universidades Presenciales;Unión Europea (27);Hombres;7.420
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;3.806
Total Universidades Presenciales;Resto de Europa;Mujeres;2.421
Total Universidades Presenciales;Resto de Europa;Hombres;1.385
Total Universidades Presenciales;EE.UU. y Canadá;Ambos Sexos;448
