Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;1.390.234
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Mujeres;755.243
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Total Centros;Hombres;634.991
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;1.330.407
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Mujeres;717.057
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros propios;Hombres;613.350
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;59.827
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Mujeres;38.186
Total Grado y 1º y 2º Ciclo;Todas las edades;Total Universidades;Centros adscritos;Hombres;21.641
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;1.234.135
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Mujeres;671.723
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Total Centros;Hombres;562.412
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;1.174.710
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Mujeres;633.730
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros propios;Hombres;540.980
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;59.425
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;37.993
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades públicas;Centros adscritos;Hombres;21.432
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;156.099
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Mujeres;83.520
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Total Centros;Hombres;72.579
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Ambos Sexos;155.697
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Mujeres;83.327
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros propios;Hombres;72.370
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Ambos Sexos;402
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Mujeres;193
Total Grado y 1º y 2º Ciclo;Todas las edades;Universidades privadas;Centros adscritos;Hombres;209
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Ambos Sexos;547.436
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Mujeres;320.798
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Total Centros;Hombres;226.638
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Ambos Sexos;518.898
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Mujeres;302.022
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros propios;Hombres;216.876
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Ambos Sexos;28.538
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Mujeres;18.776
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Total Universidades;Centros adscritos;Hombres;9.762
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Ambos Sexos;492.376
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Mujeres;288.092
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Total Centros;Hombres;204.284
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Ambos Sexos;464.139
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Mujeres;269.479
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros propios;Hombres;194.660
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Ambos Sexos;28.237
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Mujeres;18.613
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades públicas;Centros adscritos;Hombres;9.624
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Ambos Sexos;55.060
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Mujeres;32.706
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Total Centros;Hombres;22.354
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros propios;Ambos Sexos;54.759
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros propios;Mujeres;32.543
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros propios;Hombres;22.216
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Ambos Sexos;301
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Mujeres;163
Total Grado y 1º y 2º Ciclo;De 18 a 21 años;Universidades privadas;Centros adscritos;Hombres;138
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Ambos Sexos;403.182
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Mujeres;216.977
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Total Centros;Hombres;186.205
Total Grado y 1º y 2º Ciclo;De 21 a 25 años;Total Universidades;Centros propios;Ambos Sexos;386.363
