Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;1.425.018
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Mujeres;774.553
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Hombres;650.465
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;1.363.022
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Mujeres;736.356
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Hombres;626.666
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;61.996
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Mujeres;38.197
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Hombres;23.799
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;1.252.832
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Mujeres;679.498
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Hombres;573.334
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;1.192.786
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Mujeres;642.457
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Hombres;550.329
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;60.046
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;37.041
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Hombres;23.005
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;172.186
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Mujeres;95.055
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Hombres;77.131
