Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.379.726
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Mujeres;750.684
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Hombres;629.042
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.326.851
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Mujeres;715.865
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Hombres;610.986
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;52.875
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Mujeres;34.819
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Hombres;18.056
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.232.390
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Mujeres;672.647
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Hombres;559.743
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.179.616
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Mujeres;637.905
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Hombres;541.711
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;52.774
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Mujeres;34.742
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Hombres;18.032
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;147.336
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Mujeres;78.037
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Hombres;69.299
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Ambos Sexos;147.235
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Mujeres;77.960
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Hombres;69.275
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Ambos Sexos;101
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Ambos Sexos;1.342.902
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Mujeres;728.782
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Hombres;614.120
