Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Privadas;Total Ámbito;176.047
Ambos Sexos;Total Universidades Privadas;Total Educación;31.098
Ambos Sexos;Total Universidades Privadas;140 - Formación de personal docente y ciencias de la educación;4.115
Ambos Sexos;Total Universidades Privadas;142 - Ciencias de la educación;1.330
Ambos Sexos;Total Universidades Privadas;143 - Formación de docentes de enseñanza infantil;9.793
Ambos Sexos;Total Universidades Privadas;144 - Formación de docentes de enseñanza primaria;15.798
Ambos Sexos;Total Universidades Privadas;145 - Formación de docentes de enseñanza de temas especiales;14
Ambos Sexos;Total Universidades Privadas;146 - Formación de docentes de formación profesional;48
Ambos Sexos;Total Universidades Privadas;Total Artes y humanidades;13.231
Ambos Sexos;Total Universidades Privadas;211 - Bellas artes;160
Ambos Sexos;Total Universidades Privadas;212 - Música y artes del espectáculo;217
Ambos Sexos;Total Universidades Privadas;213 - Técnicas audiovisuales y medios de comunicación;7.059
Ambos Sexos;Total Universidades Privadas;214 - Diseño;1.760
Ambos Sexos;Total Universidades Privadas;220 - Humanidades;1.764
Ambos Sexos;Total Universidades Privadas;221 - Religión;269
Ambos Sexos;Total Universidades Privadas;222 - Lenguas extranjeras;999
Ambos Sexos;Total Universidades Privadas;223 - Lenguas y dialectos españoles;538
Ambos Sexos;Total Universidades Privadas;225 - Historia y arqueología;276
Ambos Sexos;Total Universidades Privadas;226 - Filosofía y ética;189
Ambos Sexos;Total Universidades Privadas;Total Ciencias sociales, educación comercial y derecho;64.018
Ambos Sexos;Total Universidades Privadas;311 - Psicología;10.974
Ambos Sexos;Total Universidades Privadas;312 - Sociología, antropología y geografía social y cultural;3.485
Ambos Sexos;Total Universidades Privadas;313 - Ciencias políticas;1.197
Ambos Sexos;Total Universidades Privadas;314 - Economía;653
Ambos Sexos;Total Universidades Privadas;320 - Periodismo e información;566
Ambos Sexos;Total Universidades Privadas;321 - Periodismo;3.894
Ambos Sexos;Total Universidades Privadas;322 - Biblioteconomía, documentación y archivos;448
Ambos Sexos;Total Universidades Privadas;342 - Marketing y publicidad;5.397
Ambos Sexos;Total Universidades Privadas;343 - Finanzas, banca y seguros;53
Ambos Sexos;Total Universidades Privadas;345 - Administración y gestión de empresas;24.141
Ambos Sexos;Total Universidades Privadas;380 - Derecho;13.210
Ambos Sexos;Total Universidades Privadas;Total Ciencias;6.734
Ambos Sexos;Total Universidades Privadas;421 - Biología y Bioquímica;618
Ambos Sexos;Total Universidades Privadas;422 - Ciencias del medio ambiente;136
Ambos Sexos;Total Universidades Privadas;442 - Química;230
Ambos Sexos;Total Universidades Privadas;443 - Geología y meteorología;129
Ambos Sexos;Total Universidades Privadas;462 - Estadística;2
Ambos Sexos;Total Universidades Privadas;481 - Ciencias de la computación;5.619
Ambos Sexos;Total Universidades Privadas;Total Ingeniería, industria y construcción;15.128
Ambos Sexos;Total Universidades Privadas;520 - Ingeniería y profesiones afines;3.033
Ambos Sexos;Total Universidades Privadas;521 - Mecánica y metalurgia;2.156
Ambos Sexos;Total Universidades Privadas;522 - Electricidad y energía;222
Ambos Sexos;Total Universidades Privadas;523 - Electrónica y automática;2.304
Ambos Sexos;Total Universidades Privadas;524 - Procesos químicos;947
Ambos Sexos;Total Universidades Privadas;525 - Vehículos de motor, barcos y aeronaves;245
Ambos Sexos;Total Universidades Privadas;541 - Industria de la alimentación;137
Ambos Sexos;Total Universidades Privadas;544 - Minería y extracción;10
Ambos Sexos;Total Universidades Privadas;581 - Arquitectura y urbanismo;5.128
Ambos Sexos;Total Universidades Privadas;582 - Construcción e ingeniería civil;946
Ambos Sexos;Total Universidades Privadas;Total Agricultura y veterinaria;2.605
Ambos Sexos;Total Universidades Privadas;621 - Producción agrícola y explotación ganadera;286
Ambos Sexos;Total Universidades Privadas;623 - Silvicultura;249
Ambos Sexos;Total Universidades Privadas;641 - Veterinaria;2.070
Ambos Sexos;Total Universidades Privadas;Total Salud y servicios sociales;34.044
Ambos Sexos;Total Universidades Privadas;720 - Salud;272
Ambos Sexos;Total Universidades Privadas;721 - Medicina;6.300
Ambos Sexos;Total Universidades Privadas;723 - Enfermería y atención a enfermos;9.185
Ambos Sexos;Total Universidades Privadas;724 - Estudios dentales;6.034
Ambos Sexos;Total Universidades Privadas;725 - Tecnología de diagnóstico y tratamiento médico;491
Ambos Sexos;Total Universidades Privadas;726 - Terapia y rehabilitación;8.371
Ambos Sexos;Total Universidades Privadas;727 - Farmacia;2.402
Ambos Sexos;Total Universidades Privadas;762 - Trabajo social y orientación;989
Ambos Sexos;Total Universidades Privadas;Total Servicios;9.189
Ambos Sexos;Total Universidades Privadas;811 - Hostelería;398
Ambos Sexos;Total Universidades Privadas;812 - Viajes, turismo y ocio;1.803
Ambos Sexos;Total Universidades Privadas;813 - Deportes;6.867
Ambos Sexos;Total Universidades Privadas;840 - Servicios de transporte;82
Ambos Sexos;Total Universidades Privadas;851 - Control y tecnología medioambiental;39
Ambos Sexos;Total Universidades Privadas Presenciales;Total Ámbito;125.243
Ambos Sexos;Total Universidades Privadas Presenciales;Total Educación;18.834
Ambos Sexos;Total Universidades Privadas Presenciales;140 - Formación de personal docente y ciencias de la educación;2.094
Ambos Sexos;Total Universidades Privadas Presenciales;142 - Ciencias de la educación;287
