Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total Ámbito;147.336
Total Universidades;Total Educación;13.356
Total Universidades;142 - Ciencias de la educación;3.314
Total Universidades;143 - Formación de docentes de enseñanza infantil;3.834
Total Universidades;144 - Formación de docentes de enseñanza primaria;2.649
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;1.557
Total Universidades;146 - Formación de docentes de formación profesional;2.002
Total Universidades;Total Artes y humanidades;10.093
Total Universidades;211 - Bellas artes;199
Total Universidades;212 - Música y artes del espectáculo;52
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;4.099
Total Universidades;214 - Diseño;298
Total Universidades;220 - Humanidades;3.410
Total Universidades;222 - Lenguas extranjeras;885
Total Universidades;223 - Lenguas y dialectos españoles;740
Total Universidades;225 - Historia y arqueología;207
Total Universidades;226 - Filosofia y ética;203
Total Universidades;Total Ciencias sociales, educación comercial y derecho;60.520
Total Universidades;311 - Psicología;8.894
Total Universidades;312 - Sociología, antropología y geografía social y cultural;1.189
Total Universidades;313 - Ciencias políticas;653
Total Universidades;314 - Economía;526
Total Universidades;321 - Periodismo;3.670
Total Universidades;322 - Biblioteconomía, documentación y archivos;874
Total Universidades;342 - Marketing y publicidad;6.570
Total Universidades;343 - Finanzas, banca y seguros;16
Total Universidades;345 - Administración y gestión de empresas;25.849
Total Universidades;380 - Derecho;12.279
Total Universidades;Total Ciencias;10.891
Total Universidades;421 - Biología y Bioquímica;538
Total Universidades;422 - Ciencias del medio ambiente;303
Total Universidades;442 - Química;223
Total Universidades;443 - Geología y meteorología;135
Total Universidades;462 - Estadística;62
Total Universidades;480 - Informática;6
Total Universidades;481 - Ciencias de la computación;9.624
Total Universidades;Total Ingeniería, industria y construcción;21.943
Total Universidades;520 - Ingeniería y profesiones afines;3.774
Total Universidades;521 - Mecánica y metalurgia;770
Total Universidades;522 - Electricidad y energía;71
Total Universidades;523 - Electrónica y automática;4.065
Total Universidades;524 - Procesos químicos;745
Total Universidades;541 - Industria de la alimentación;156
Total Universidades;581 - Arquitectura y urbanismo;10.703
Total Universidades;582 - Construcción e ingeniería civil;1.659
Total Universidades;Total Agricultura y veterinaria;1.690
Total Universidades;621 - Producción agrícola y explotación ganadera;100
Total Universidades;623 - Silvicultura;94
Total Universidades;641 - Veterinaria;1.496
Total Universidades;Total Salud y servicios sociales;24.024
Total Universidades;721 - Medicina;1.901
Total Universidades;723 - Enfermería y atención a enfermos;6.460
Total Universidades;724 - Estudios dentales;4.398
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;428
Total Universidades;726 - Terapia y rehabilitación;5.931
Total Universidades;727 - Farmacia;2.466
Total Universidades;762 - Trabajo social y orientación;750
Total Universidades;Total Servicios;6.509
Total Universidades;812 - Viajes, turismo y ocio;2.788
Total Universidades;813 - Deportes;3.721
Universidades Privadas Presenciales;Total Ámbito;105.376
Universidades Privadas Presenciales;Total Educación;11.595
Universidades Privadas Presenciales;142 - Ciencias de la educación;1.553
Universidades Privadas Presenciales;143 - Formación de docentes de enseñanza infantil;3.834
Universidades Privadas Presenciales;144 - Formación de docentes de enseñanza primaria;2.649
Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;1.557
Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;2.002
Universidades Privadas Presenciales;Total Artes y humanidades;6.049
Universidades Privadas Presenciales;211 - Bellas artes;199
Universidades Privadas Presenciales;212 - Música y artes del espectáculo;52
Universidades Privadas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;3.472
Universidades Privadas Presenciales;214 - Diseño;298
Universidades Privadas Presenciales;220 - Humanidades;618
Universidades Privadas Presenciales;222 - Lenguas extranjeras;885
Universidades Privadas Presenciales;223 - Lenguas y dialectos españoles;115
Universidades Privadas Presenciales;225 - Historia y arqueología;207
Universidades Privadas Presenciales;226 - Filosofia y ética;203
Universidades Privadas Presenciales;Total Ciencias sociales, educación comercial y derecho;33.030
Universidades Privadas Presenciales;311 - Psicología;3.229
Universidades Privadas Presenciales;312 - Sociología, antropología y geografía social y cultural;461
Universidades Privadas Presenciales;313 - Ciencias políticas;182
Universidades Privadas Presenciales;314 - Economía;526
Universidades Privadas Presenciales;321 - Periodismo;3.670
Universidades Privadas Presenciales;322 - Biblioteconomía, documentación y archivos;60
Universidades Privadas Presenciales;342 - Marketing y publicidad;4.534
Universidades Privadas Presenciales;343 - Finanzas, banca y seguros;16
Universidades Privadas Presenciales;345 - Administración y gestión de empresas;13.121
Universidades Privadas Presenciales;380 - Derecho;7.231
Universidades Privadas Presenciales;Total Ciencias;4.612
Universidades Privadas Presenciales;421 - Biología y Bioquímica;538
Universidades Privadas Presenciales;422 - Ciencias del medio ambiente;303
Universidades Privadas Presenciales;442 - Química;223
Universidades Privadas Presenciales;443 - Geología y meteorología;135
Universidades Privadas Presenciales;462 - Estadística;62
Universidades Privadas Presenciales;480 - Informática;6
Universidades Privadas Presenciales;481 - Ciencias de la computación;3.345
Universidades Privadas Presenciales;Total Ingeniería, industria y construcción;20.987
Universidades Privadas Presenciales;520 - Ingeniería y profesiones afines;3.774
Universidades Privadas Presenciales;521 - Mecánica y metalurgia;770
Universidades Privadas Presenciales;522 - Electricidad y energía;71
Universidades Privadas Presenciales;523 - Electrónica y automática;3.109
Universidades Privadas Presenciales;524 - Procesos químicos;745
Universidades Privadas Presenciales;541 - Industria de la alimentación;156
Universidades Privadas Presenciales;581 - Arquitectura y urbanismo;10.703
Universidades Privadas Presenciales;582 - Construcción e ingeniería civil;1.659
Universidades Privadas Presenciales;Total Agricultura y veterinaria;1.690
Universidades Privadas Presenciales;621 - Producción agrícola y explotación ganadera;100
Universidades Privadas Presenciales;623 - Silvicultura;94
Universidades Privadas Presenciales;641 - Veterinaria;1.496
Universidades Privadas Presenciales;Total Salud y servicios sociales;24.024
Universidades Privadas Presenciales;721 - Medicina;1.901
