Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total;1.252.832
Total Universidades;1 - Educación;140.132
Total Universidades;142 - Ciencias de la educación;42.043
Total Universidades;143 - Formación de docentes de enseñanza infantil;29.798
Total Universidades;144 - Formación de docentes de enseñanza primaria;42.526
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;9.962
Total Universidades;146 - Formación de docentes de formación profesional;15.803
Total Universidades;2 - Artes y humanidades;127.335
Total Universidades;210 - Artes;79
Total Universidades;211 - Bellas artes;29.282
Total Universidades;212 - Música y artes del espectáculo;1.870
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;11.100
Total Universidades;214 - Diseño;1.261
Total Universidades;220 - Humanidades;4.332
Total Universidades;222 - Lenguas extranjeras;34.461
Total Universidades;223 - Lenguas y dialectos españoles;12.272
Total Universidades;224 - Historia, filosofía y temas relacionados;857
Total Universidades;225 - Historia y arqueología;24.396
Total Universidades;226 - Filosofía y ética;7.425
Total Universidades;3 - Ciencias sociales, educación comercial y derecho;430.894
Total Universidades;310 - Ciencias sociales y del comportamiento;210
Total Universidades;311 - Psicología;54.967
Total Universidades;312 - Sociología, antropología y geografía social y cultural;21.840
Total Universidades;313 - Ciencias políticas;11.716
Total Universidades;314 - Economía;29.361
Total Universidades;321 - Periodismo;16.091
Total Universidades;322 - Biblioteconomía, documentación y archivos;2.699
Total Universidades;341 - Ventas al por mayor y al por menor;515
Total Universidades;342 - Marketing y publicidad;15.126
Total Universidades;343 - Finanzas, banca y seguros;5.152
Total Universidades;344 - Contabilidad y gestión de impuestos;354
Total Universidades;345 - Administración y gestión de empresas;174.432
Total Universidades;346 - Secretariado y trabajo administrativo;72
Total Universidades;347 - Otros estudios referidos al puesto de trabajo;1.219
Total Universidades;380 - Derecho;97.140
Total Universidades;4 - Ciencias;128.679
Total Universidades;421 - Biología y Bioquímica;24.703
Total Universidades;422 - Ciencias del medio ambiente;14.272
Total Universidades;440 - Ciencias Físicas, químicas, geológicas;68
Total Universidades;441 - Física;7.853
Total Universidades;442 - Química;15.700
Total Universidades;443 - Geología y meteorología;4.107
Total Universidades;461 - Matemáticas;7.693
Total Universidades;462 - Estadística;2.427
Total Universidades;481 - Ciencias de la computación;50.774
Total Universidades;482 - Informática en el nivel de usuario;1.082
Total Universidades;5 - Ingeniería, industria y construcción;228.844
Total Universidades;520 - Ingeniería y profesiones afines;35.308
Total Universidades;521 - Mecánica y metalurgia;24.563
