Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
TOTAL;TOTAL;Ambos Sexos;1.425.018
TOTAL;TOTAL;Mujeres;774.553
TOTAL;TOTAL;Hombres;650.465
TOTAL;España;Ambos Sexos;1.379.002
TOTAL;España;Mujeres;746.879
TOTAL;España;Hombres;632.123
TOTAL;Unión Europea (27);Ambos Sexos;18.027
TOTAL;Unión Europea (27);Mujeres;11.276
TOTAL;Unión Europea (27);Hombres;6.751
TOTAL;Resto de Europa;Ambos Sexos;4.088
TOTAL;Resto de Europa;Mujeres;2.686
TOTAL;Resto de Europa;Hombres;1.402
TOTAL;América del Norte;Ambos Sexos;1.365
TOTAL;América del Norte;Mujeres;733
TOTAL;América del Norte;Hombres;632
TOTAL;América Central;Ambos Sexos;1.414
TOTAL;América Central;Mujeres;924
TOTAL;América Central;Hombres;490
TOTAL;América del Sur;Ambos Sexos;12.740
TOTAL;América del Sur;Mujeres;7.829
TOTAL;América del Sur;Hombres;4.911
TOTAL;Norte de África;Ambos Sexos;4.423
TOTAL;Norte de África;Mujeres;2.220
TOTAL;Norte de África;Hombres;2.203
TOTAL;Resto de África;Ambos Sexos;1.320
TOTAL;Resto de África;Mujeres;562
TOTAL;Resto de África;Hombres;758
TOTAL;Asia y Oceanía;Ambos Sexos;2.639
TOTAL;Asia y Oceanía;Mujeres;1.444
TOTAL;Asia y Oceanía;Hombres;1.195
Total Universidades Presenciales;TOTAL;Ambos Sexos;1.227.013
Total Universidades Presenciales;TOTAL;Mujeres;664.671
Total Universidades Presenciales;TOTAL;Hombres;562.342
Total Universidades Presenciales;España;Ambos Sexos;1.186.391
Total Universidades Presenciales;España;Mujeres;640.698
Total Universidades Presenciales;España;Hombres;545.693
Total Universidades Presenciales;Unión Europea (27);Ambos Sexos;15.732
Total Universidades Presenciales;Unión Europea (27);Mujeres;9.610
Total Universidades Presenciales;Unión Europea (27);Hombres;6.122
Total Universidades Presenciales;Resto de Europa;Ambos Sexos;3.466
Total Universidades Presenciales;Resto de Europa;Mujeres;2.215
Total Universidades Presenciales;Resto de Europa;Hombres;1.251
Total Universidades Presenciales;América del Norte;Ambos Sexos;1.239
Total Universidades Presenciales;América del Norte;Mujeres;653
Total Universidades Presenciales;América del Norte;Hombres;586
Total Universidades Presenciales;América Central;Ambos Sexos;1.257
Total Universidades Presenciales;América Central;Mujeres;806
Total Universidades Presenciales;América Central;Hombres;451
Total Universidades Presenciales;América del Sur;Ambos Sexos;11.129
Total Universidades Presenciales;América del Sur;Mujeres;6.692
Total Universidades Presenciales;América del Sur;Hombres;4.437
Total Universidades Presenciales;Norte de África;Ambos Sexos;4.210
Total Universidades Presenciales;Norte de África;Mujeres;2.109
Total Universidades Presenciales;Norte de África;Hombres;2.101
Total Universidades Presenciales;Resto de África;Ambos Sexos;1.037
Total Universidades Presenciales;Resto de África;Mujeres;494
Total Universidades Presenciales;Resto de África;Hombres;543
Total Universidades Presenciales;Asia y Oceanía;Ambos Sexos;2.552
Total Universidades Presenciales;Asia y Oceanía;Mujeres;1.394
Total Universidades Presenciales;Asia y Oceanía;Hombres;1.158
Andalucía;TOTAL;Ambos Sexos;231.437
Andalucía;TOTAL;Mujeres;127.972
Andalucía;TOTAL;Hombres;103.465
Andalucía;España;Ambos Sexos;225.531
Andalucía;España;Mujeres;124.462
Andalucía;España;Hombres;101.069
Andalucía;Unión Europea (27);Ambos Sexos;1.706
Andalucía;Unión Europea (27);Mujeres;1.142
Andalucía;Unión Europea (27);Hombres;564
Andalucía;Resto de Europa;Ambos Sexos;356
Andalucía;Resto de Europa;Mujeres;263
Andalucía;Resto de Europa;Hombres;93
Andalucía;América del Norte;Ambos Sexos;158
Andalucía;América del Norte;Mujeres;116
Andalucía;América del Norte;Hombres;42
Andalucía;América Central;Ambos Sexos;95
Andalucía;América Central;Mujeres;60
Andalucía;América Central;Hombres;35
Andalucía;América del Sur;Ambos Sexos;995
Andalucía;América del Sur;Mujeres;636
Andalucía;América del Sur;Hombres;359
Andalucía;Norte de África;Ambos Sexos;2.126
