Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Total;Total;Ambos sexos;1.364.023
Total Universidades;Total;Total;Mujeres;739.088
Total Universidades;Total;Total;Hombres;624.935
Total Universidades;Total;España;Ambos sexos;1.311.453
Total Universidades;Total;España;Mujeres;707.943
Total Universidades;Total;España;Hombres;603.510
Total Universidades;Total;Unión Europea (28);Ambos sexos;23.594
Total Universidades;Total;Unión Europea (28);Mujeres;14.243
Total Universidades;Total;Unión Europea (28);Hombres;9.351
Total Universidades;Total;Resto de Europa;Ambos sexos;4.764
Total Universidades;Total;Resto de Europa;Mujeres;3.039
Total Universidades;Total;Resto de Europa;Hombres;1.725
Total Universidades;Total;EE.UU. y Canadá;Ambos sexos;432
Total Universidades;Total;EE.UU. y Canadá;Mujeres;257
Total Universidades;Total;EE.UU. y Canadá;Hombres;175
Total Universidades;Total;América Latina y Caribe;Ambos sexos;12.615
Total Universidades;Total;América Latina y Caribe;Mujeres;7.591
Total Universidades;Total;América Latina y Caribe;Hombres;5.024
Total Universidades;Total;Norte de África;Ambos sexos;4.427
Total Universidades;Total;Norte de África;Mujeres;2.399
Total Universidades;Total;Norte de África;Hombres;2.028
Total Universidades;Total;Resto de África;Ambos sexos;1.360
Total Universidades;Total;Resto de África;Mujeres;606
Total Universidades;Total;Resto de África;Hombres;754
Total Universidades;Total;Asia y Oceanía;Ambos sexos;5.378
Total Universidades;Total;Asia y Oceanía;Mujeres;3.010
Total Universidades;Total;Asia y Oceanía;Hombres;2.368
Total Universidades;Andalucía;Total;Ambos sexos;224.570
Total Universidades;Andalucía;Total;Mujeres;122.443
Total Universidades;Andalucía;Total;Hombres;102.127
Total Universidades;Andalucía;España;Ambos sexos;219.087
Total Universidades;Andalucía;España;Mujeres;119.126
Total Universidades;Andalucía;España;Hombres;99.961
Total Universidades;Andalucía;Unión Europea (28);Ambos sexos;1.851
Total Universidades;Andalucía;Unión Europea (28);Mujeres;1.225
Total Universidades;Andalucía;Unión Europea (28);Hombres;626
Total Universidades;Andalucía;Resto de Europa;Ambos sexos;449
Total Universidades;Andalucía;Resto de Europa;Mujeres;306
Total Universidades;Andalucía;Resto de Europa;Hombres;143
Total Universidades;Andalucía;EE.UU. y Canadá;Ambos sexos;79
Total Universidades;Andalucía;EE.UU. y Canadá;Mujeres;70
Total Universidades;Andalucía;EE.UU. y Canadá;Hombres;9
Total Universidades;Andalucía;América Latina y Caribe;Ambos sexos;791
Total Universidades;Andalucía;América Latina y Caribe;Mujeres;469
Total Universidades;Andalucía;América Latina y Caribe;Hombres;322
Total Universidades;Andalucía;Norte de África;Ambos sexos;1.622
Total Universidades;Andalucía;Norte de África;Mujeres;844
Total Universidades;Andalucía;Norte de África;Hombres;778
Total Universidades;Andalucía;Resto de África;Ambos sexos;137
Total Universidades;Andalucía;Resto de África;Mujeres;54
Total Universidades;Andalucía;Resto de África;Hombres;83
Total Universidades;Andalucía;Asia y Oceanía;Ambos sexos;554
Total Universidades;Andalucía;Asia y Oceanía;Mujeres;349
Total Universidades;Andalucía;Asia y Oceanía;Hombres;205
Total Universidades;Aragón;Total;Ambos sexos;30.822
Total Universidades;Aragón;Total;Mujeres;16.266
Total Universidades;Aragón;Total;Hombres;14.556
Total Universidades;Aragón;España;Ambos sexos;29.731
Total Universidades;Aragón;España;Mujeres;15.604
Total Universidades;Aragón;España;Hombres;14.127
