Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;1.456.783
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Mujeres;787.491
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Total Centros;Hombres;669.292
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;1.395.674
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Mujeres;750.916
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros propios;Hombres;644.758
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;61.109
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Mujeres;36.575
Total Grado y 1º y 2º Ciclo;Total Ramas;Total Universidades;Centros adscritos;Hombres;24.534
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;1.282.794
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Mujeres;693.605
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Total Centros;Hombres;589.189
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;1.224.368
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Mujeres;658.535
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros propios;Hombres;565.833
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;58.426
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;35.070
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades públicas;Centros adscritos;Hombres;23.356
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;173.989
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Mujeres;93.886
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Total Centros;Hombres;80.103
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Ambos Sexos;171.306
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Mujeres;92.381
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros propios;Hombres;78.925
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Ambos Sexos;2.683
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Mujeres;1.505
Total Grado y 1º y 2º Ciclo;Total Ramas;Universidades privadas;Centros adscritos;Hombres;1.178
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Ambos Sexos;701.616
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Mujeres;428.524
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Hombres;273.092
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Ambos Sexos;665.261
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Mujeres;405.456
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Hombres;259.805
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Ambos Sexos;36.355
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Mujeres;23.068
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Hombres;13.287
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Ambos Sexos;604.197
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Mujeres;371.434
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Hombres;232.763
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Ambos Sexos;568.817
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Mujeres;348.876
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Hombres;219.941
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Ambos Sexos;35.380
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Mujeres;22.558
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Hombres;12.822
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Ambos Sexos;97.419
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Mujeres;57.090
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Hombres;40.329
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Ambos Sexos;96.444
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Mujeres;56.580
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Hombres;39.864
Total Grado y 1º y 2º Ciclo;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Ambos Sexos;975
