Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.456.783
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Mujeres;787.491
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Hombres;669.292
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.395.674
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Mujeres;750.916
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Hombres;644.758
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;61.109
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Mujeres;36.575
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Hombres;24.534
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.282.794
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Mujeres;693.605
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Hombres;589.189
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.224.368
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Mujeres;658.535
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Hombres;565.833
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;58.426
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Mujeres;35.070
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Hombres;23.356
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;173.989
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Mujeres;93.886
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Hombres;80.103
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Ambos Sexos;171.306
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Mujeres;92.381
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Hombres;78.925
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Ambos Sexos;2.683
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Mujeres;1.505
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Hombres;1.178
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Ambos Sexos;1.407.761
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Mujeres;758.008
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Hombres;649.753
