Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Ambos Sexos;1.364.023
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Mujeres;739.088
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Total Centros;Hombres;624.935
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Ambos Sexos;1.300.133
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Mujeres;702.606
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros propios;Hombres;597.527
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Ambos Sexos;63.890
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Mujeres;36.482
Total Grado y 1º y 2º Ciclo;TOTAL;Total Universidades;Centros adscritos;Hombres;27.408
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Ambos Sexos;1.187.976
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Mujeres;641.865
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Total Centros;Hombres;546.111
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Ambos Sexos;1.129.770
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Mujeres;608.538
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros propios;Hombres;521.232
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Ambos Sexos;58.206
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Mujeres;33.327
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades públicas;Centros adscritos;Hombres;24.879
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Ambos Sexos;176.047
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Mujeres;97.223
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Total Centros;Hombres;78.824
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Ambos Sexos;170.363
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Mujeres;94.068
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros propios;Hombres;76.295
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Ambos Sexos;5.684
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Mujeres;3.155
Total Grado y 1º y 2º Ciclo;TOTAL;Universidades privadas;Centros adscritos;Hombres;2.529
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Ambos Sexos;1.311.453
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Mujeres;707.943
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Total Centros;Hombres;603.510
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Ambos Sexos;1.250.722
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Mujeres;673.242
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros propios;Hombres;577.480
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Ambos Sexos;60.731
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Mujeres;34.701
Total Grado y 1º y 2º Ciclo;España;Total Universidades;Centros adscritos;Hombres;26.030
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Ambos Sexos;1.145.669
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Mujeres;615.903
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Total Centros;Hombres;529.766
Total Grado y 1º y 2º Ciclo;España;Universidades públicas;Centros propios;Ambos Sexos;1.089.907
