Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total Ámbito;174.325
Total Universidades;Total Educación;29.450
Total Universidades;140 - Formación de personal docente y ciencias de la educación;3.328
Total Universidades;142 - Ciencias de la educación;2.413
Total Universidades;143 - Formación de docentes de enseñanza infantil;9.672
Total Universidades;144 - Formación de docentes de enseñanza primaria;13.199
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;260
Total Universidades;146 - Formación de docentes de formación profesional;578
Total Universidades;Total Artes y humanidades;12.608
Total Universidades;211 - Bellas artes;206
Total Universidades;212 - Música y artes del espectáculo;..
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;7.034
Total Universidades;214 - Diseño;1.232
Total Universidades;220 - Humanidades;2.061
Total Universidades;222 - Lenguas extranjeras;975
Total Universidades;223 - Lenguas y dialectos españoles;620
Total Universidades;225 - Historia y arqueología;250
Total Universidades;226 - Filosofía y ética;144
Total Universidades;Total Ciencias sociales, educación comercial y derecho;63.551
Total Universidades;311 - Psicología;9.842
Total Universidades;312 - Sociología, antropología y geografía social y cultural;2.713
Total Universidades;313 - Ciencias políticas;878
Total Universidades;314 - Economía;624
Total Universidades;320 - Periodismo e información;326
Total Universidades;321 - Periodismo;4.286
Total Universidades;322 - Biblioteconomía, documentación y archivos;562
Total Universidades;342 - Marketing y publicidad;5.878
Total Universidades;343 - Finanzas, banca y seguros;..
Total Universidades;344 - Contabilidad y gestión de impuestos;..
Total Universidades;345 - Administración y gestión de empresas;23.623
Total Universidades;347 - Otros estudios referidos al puesto de trabajo;421
Total Universidades;380 - Derecho;14.313
Total Universidades;Total Ciencias;8.097
Total Universidades;420 - Ciencias de la vida;..
Total Universidades;421 - Biología y Bioquímica;731
Total Universidades;422 - Ciencias del medio ambiente;251
Total Universidades;442 - Química;204
Total Universidades;443 - Geología y meteorología;107
Total Universidades;462 - Estadística;..
Total Universidades;481 - Ciencias de la computación;6.738
Total Universidades;Total Ingeniería, industria y construcción;19.398
Total Universidades;520 - Ingeniería y profesiones afines;3.834
Total Universidades;521 - Mecánica y metalurgia;1.692
Total Universidades;522 - Electricidad y energía;171
Total Universidades;523 - Electrónica y automática;3.038
Total Universidades;524 - Procesos químicos;795
Total Universidades;525 - Vehículos de motor, barcos y aeronaves;162
Total Universidades;541 - Industria de la alimentación;127
Total Universidades;580 - Arquitectura y construcción;..
Total Universidades;581 - Arquitectura y urbanismo;7.659
Total Universidades;582 - Construcción e ingeniería civil;1.859
Total Universidades;Total Agricultura y veterinaria;2.229
Total Universidades;621 - Producción agrícola y explotación ganadera;449
Total Universidades;623 - Silvicultura;344
Total Universidades;641 - Veterinaria;1.436
Total Universidades;Total Salud y servicios sociales;30.720
Total Universidades;720 - Salud;208
Total Universidades;721 - Medicina;4.718
Total Universidades;723 - Enfermería y atención a enfermos;9.490
Total Universidades;724 - Estudios dentales;5.683
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;477
Total Universidades;726 - Terapia y rehabilitación;6.528
Total Universidades;727 - Farmacia;2.402
Total Universidades;762 - Trabajo social y orientación;1.214
Total Universidades;Total Servicios;8.272
Total Universidades;811 - Hostelería;160
Total Universidades;812 - Viajes, turismo y ocio;1.947
Total Universidades;813 - Deportes;6.104
Total Universidades;840 - Servicios de transporte;..
Universidades Privadas Presenciales;Total Ámbito;124.761
Universidades Privadas Presenciales;Total Educación;19.321
Universidades Privadas Presenciales;140 - Formación de personal docente y ciencias de la educación;1.601
Universidades Privadas Presenciales;142 - Ciencias de la educación;449
Universidades Privadas Presenciales;143 - Formación de docentes de enseñanza infantil;6.409
Universidades Privadas Presenciales;144 - Formación de docentes de enseñanza primaria;10.024
Universidades Privadas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;260
Universidades Privadas Presenciales;146 - Formación de docentes de formación profesional;578
Universidades Privadas Presenciales;Total Artes y humanidades;6.781
Universidades Privadas Presenciales;211 - Bellas artes;206
Universidades Privadas Presenciales;212 - Música y artes del espectáculo;..
Universidades Privadas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;3.590
Universidades Privadas Presenciales;214 - Diseño;1.232
Universidades Privadas Presenciales;220 - Humanidades;247
Universidades Privadas Presenciales;222 - Lenguas extranjeras;975
Universidades Privadas Presenciales;223 - Lenguas y dialectos españoles;132
Universidades Privadas Presenciales;225 - Historia y arqueología;169
Universidades Privadas Presenciales;226 - Filosofía y ética;144
Universidades Privadas Presenciales;Total Ciencias sociales, educación comercial y derecho;36.260
Universidades Privadas Presenciales;311 - Psicología;3.824
Universidades Privadas Presenciales;312 - Sociología, antropología y geografía social y cultural;661
Universidades Privadas Presenciales;313 - Ciencias políticas;536
Universidades Privadas Presenciales;314 - Economía;580
Universidades Privadas Presenciales;320 - Periodismo e información;326
Universidades Privadas Presenciales;321 - Periodismo;3.461
Universidades Privadas Presenciales;322 - Biblioteconomía, documentación y archivos;.
Universidades Privadas Presenciales;342 - Marketing y publicidad;3.586
Universidades Privadas Presenciales;343 - Finanzas, banca y seguros;..
Universidades Privadas Presenciales;344 - Contabilidad y gestión de impuestos;..
Universidades Privadas Presenciales;345 - Administración y gestión de empresas;13.554
Universidades Privadas Presenciales;347 - Otros estudios referidos al puesto de trabajo;421
Universidades Privadas Presenciales;380 - Derecho;9.217
Universidades Privadas Presenciales;Total Ciencias;3.984
Universidades Privadas Presenciales;420 - Ciencias de la vida;..
Universidades Privadas Presenciales;421 - Biología y Bioquímica;731
Universidades Privadas Presenciales;422 - Ciencias del medio ambiente;251
Universidades Privadas Presenciales;442 - Química;204
Universidades Privadas Presenciales;443 - Geología y meteorología;107
Universidades Privadas Presenciales;462 - Estadística;..
Universidades Privadas Presenciales;481 - Ciencias de la computación;2.625
Universidades Privadas Presenciales;Total Ingeniería, industria y construcción;18.399
Universidades Privadas Presenciales;520 - Ingeniería y profesiones afines;3.646
Universidades Privadas Presenciales;521 - Mecánica y metalurgia;1.692
Universidades Privadas Presenciales;522 - Electricidad y energía;171
Universidades Privadas Presenciales;523 - Electrónica y automática;2.227
Universidades Privadas Presenciales;524 - Procesos químicos;795
Universidades Privadas Presenciales;525 - Vehículos de motor, barcos y aeronaves;162
Universidades Privadas Presenciales;541 - Industria de la alimentación;127
Universidades Privadas Presenciales;580 - Arquitectura y construcción;..
Universidades Privadas Presenciales;581 - Arquitectura y urbanismo;7.659
Universidades Privadas Presenciales;582 - Construcción e ingeniería civil;1.859
Universidades Privadas Presenciales;Total Agricultura y veterinaria;2.229
Universidades Privadas Presenciales;621 - Producción agrícola y explotación ganadera;449
Universidades Privadas Presenciales;623 - Silvicultura;344
Universidades Privadas Presenciales;641 - Veterinaria;1.436
Universidades Privadas Presenciales;Total Salud y servicios sociales;30.345
Universidades Privadas Presenciales;720 - Salud;208
Universidades Privadas Presenciales;721 - Medicina;4.718
Universidades Privadas Presenciales;723 - Enfermería y atención a enfermos;9.490
Universidades Privadas Presenciales;724 - Estudios dentales;5.683
Universidades Privadas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;477
Universidades Privadas Presenciales;726 - Terapia y rehabilitación;6.528
Universidades Privadas Presenciales;727 - Farmacia;2.402
Universidades Privadas Presenciales;762 - Trabajo social y orientación;839
Universidades Privadas Presenciales;Total Servicios;7.442
Universidades Privadas Presenciales;811 - Hostelería;160
Universidades Privadas Presenciales;812 - Viajes, turismo y ocio;1.117
Universidades Privadas Presenciales;813 - Deportes;6.104
Universidades Privadas Presenciales;840 - Servicios de transporte;..
Abat Oliba CEU;Total Ámbito;1.474
Abat Oliba CEU;Total Educación;129
Abat Oliba CEU;140 - Formación de personal docente y ciencias de la educación;.
Abat Oliba CEU;142 - Ciencias de la educación;.
Abat Oliba CEU;143 - Formación de docentes de enseñanza infantil;..
Abat Oliba CEU;144 - Formación de docentes de enseñanza primaria;..
Abat Oliba CEU;145 - Formación de docentes de enseñanza de temas especiales;.
Abat Oliba CEU;146 - Formación de docentes de formación profesional;.
Abat Oliba CEU;Total Artes y humanidades;.
Abat Oliba CEU;211 - Bellas artes;.
Abat Oliba CEU;212 - Música y artes del espectáculo;.
Abat Oliba CEU;213 - Técnicas audiovisuales y medios de comunicación;.
Abat Oliba CEU;214 - Diseño;.
Abat Oliba CEU;220 - Humanidades;.
Abat Oliba CEU;222 - Lenguas extranjeras;.
Abat Oliba CEU;223 - Lenguas y dialectos españoles;.
Abat Oliba CEU;225 - Historia y arqueología;.
Abat Oliba CEU;226 - Filosofía y ética;.
Abat Oliba CEU;Total Ciencias sociales, educación comercial y derecho;1.345
Abat Oliba CEU;311 - Psicología;229
Abat Oliba CEU;312 - Sociología, antropología y geografía social y cultural;.
Abat Oliba CEU;313 - Ciencias políticas;..
Abat Oliba CEU;314 - Economía;..
Abat Oliba CEU;320 - Periodismo e información;.
Abat Oliba CEU;321 - Periodismo;126
Abat Oliba CEU;322 - Biblioteconomía, documentación y archivos;.
Abat Oliba CEU;342 - Marketing y publicidad;287
Abat Oliba CEU;343 - Finanzas, banca y seguros;.
Abat Oliba CEU;344 - Contabilidad y gestión de impuestos;.
Abat Oliba CEU;345 - Administración y gestión de empresas;283
Abat Oliba CEU;347 - Otros estudios referidos al puesto de trabajo;.
Abat Oliba CEU;380 - Derecho;311
Abat Oliba CEU;Total Ciencias;.
Abat Oliba CEU;420 - Ciencias de la vida;.
Abat Oliba CEU;421 - Biología y Bioquímica;.
Abat Oliba CEU;422 - Ciencias del medio ambiente;.
Abat Oliba CEU;442 - Química;.
Abat Oliba CEU;443 - Geología y meteorología;.
Abat Oliba CEU;462 - Estadística;.
Abat Oliba CEU;481 - Ciencias de la computación;.
Abat Oliba CEU;Total Ingeniería, industria y construcción;.
Abat Oliba CEU;520 - Ingeniería y profesiones afines;.
Abat Oliba CEU;521 - Mecánica y metalurgia;.
Abat Oliba CEU;522 - Electricidad y energía;.
Abat Oliba CEU;523 - Electrónica y automática;.
Abat Oliba CEU;524 - Procesos químicos;.
Abat Oliba CEU;525 - Vehículos de motor, barcos y aeronaves;.
Abat Oliba CEU;541 - Industria de la alimentación;.
Abat Oliba CEU;580 - Arquitectura y construcción;.
Abat Oliba CEU;581 - Arquitectura y urbanismo;.
Abat Oliba CEU;582 - Construcción e ingeniería civil;.
Abat Oliba CEU;Total Agricultura y veterinaria;.
Abat Oliba CEU;621 - Producción agrícola y explotación ganadera;.
Abat Oliba CEU;623 - Silvicultura;.
Abat Oliba CEU;641 - Veterinaria;.
Abat Oliba CEU;Total Salud y servicios sociales;.
Abat Oliba CEU;720 - Salud;.
Abat Oliba CEU;721 - Medicina;.
Abat Oliba CEU;723 - Enfermería y atención a enfermos;.
Abat Oliba CEU;724 - Estudios dentales;.
Abat Oliba CEU;725 - Tecnología de diagnóstico y tratamiento médico;.
Abat Oliba CEU;726 - Terapia y rehabilitación;.
Abat Oliba CEU;727 - Farmacia;.
Abat Oliba CEU;762 - Trabajo social y orientación;.
Abat Oliba CEU;Total Servicios;.
Abat Oliba CEU;811 - Hostelería;.
Abat Oliba CEU;812 - Viajes, turismo y ocio;.
Abat Oliba CEU;813 - Deportes;.
Abat Oliba CEU;840 - Servicios de transporte;.
Alfonso X El Sabio;Total Ámbito;7.944
Alfonso X El Sabio;Total Educación;..
Alfonso X El Sabio;140 - Formación de personal docente y ciencias de la educación;.
Alfonso X El Sabio;142 - Ciencias de la educación;.
Alfonso X El Sabio;143 - Formación de docentes de enseñanza infantil;..
Alfonso X El Sabio;144 - Formación de docentes de enseñanza primaria;..
Alfonso X El Sabio;145 - Formación de docentes de enseñanza de temas especiales;.
Alfonso X El Sabio;146 - Formación de docentes de formación profesional;.
Alfonso X El Sabio;Total Artes y humanidades;..
Alfonso X El Sabio;211 - Bellas artes;.
Alfonso X El Sabio;212 - Música y artes del espectáculo;.
Alfonso X El Sabio;213 - Técnicas audiovisuales y medios de comunicación;.
Alfonso X El Sabio;214 - Diseño;.
Alfonso X El Sabio;220 - Humanidades;.
Alfonso X El Sabio;222 - Lenguas extranjeras;..
Alfonso X El Sabio;223 - Lenguas y dialectos españoles;.
Alfonso X El Sabio;225 - Historia y arqueología;.
Alfonso X El Sabio;226 - Filosofía y ética;.
Alfonso X El Sabio;Total Ciencias sociales, educación comercial y derecho;336
Alfonso X El Sabio;311 - Psicología;.
Alfonso X El Sabio;312 - Sociología, antropología y geografía social y cultural;.
Alfonso X El Sabio;313 - Ciencias políticas;.
Alfonso X El Sabio;314 - Economía;.
Alfonso X El Sabio;320 - Periodismo e información;.
Alfonso X El Sabio;321 - Periodismo;.
Alfonso X El Sabio;322 - Biblioteconomía, documentación y archivos;.
