Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Públicas;Total Ámbito;1.187.976
Ambos Sexos;Total Universidades Públicas;Total Educación;127.331
Ambos Sexos;Total Universidades Públicas;140 - Formación de personal docente y ciencias de la educación;17.432
Ambos Sexos;Total Universidades Públicas;142 - Ciencias de la educación;14.357
Ambos Sexos;Total Universidades Públicas;143 - Formación de docentes de enseñanza infantil;37.017
Ambos Sexos;Total Universidades Públicas;144 - Formación de docentes de enseñanza primaria;57.898
Ambos Sexos;Total Universidades Públicas;145 - Formación de docentes de enseñanza de temas especiales;273
Ambos Sexos;Total Universidades Públicas;146 - Formación de docentes de formación profesional;354
Ambos Sexos;Total Universidades Públicas;Total Artes y humanidades;132.648
Ambos Sexos;Total Universidades Públicas;211 - Bellas artes;27.790
Ambos Sexos;Total Universidades Públicas;212 - Música y artes del espectáculo;1.784
Ambos Sexos;Total Universidades Públicas;213 - Técnicas audiovisuales y medios de comunicación;13.164
Ambos Sexos;Total Universidades Públicas;214 - Diseño;2.279
Ambos Sexos;Total Universidades Públicas;220 - Humanidades;4.103
Ambos Sexos;Total Universidades Públicas;222 - Lenguas extranjeras;38.958
Ambos Sexos;Total Universidades Públicas;223 - Lenguas y dialectos españoles;13.324
Ambos Sexos;Total Universidades Públicas;225 - Historia y arqueología;24.126
Ambos Sexos;Total Universidades Públicas;226 - Filosofía y ética;7.120
Ambos Sexos;Total Universidades Públicas;Total Ciencias sociales, educación comercial y derecho;394.290
Ambos Sexos;Total Universidades Públicas;311 - Psicología;57.397
Ambos Sexos;Total Universidades Públicas;312 - Sociología, antropología y geografía social y cultural;21.031
Ambos Sexos;Total Universidades Públicas;313 - Ciencias políticas;11.935
Ambos Sexos;Total Universidades Públicas;314 - Economía;26.846
Ambos Sexos;Total Universidades Públicas;321 - Periodismo;15.433
Ambos Sexos;Total Universidades Públicas;322 - Biblioteconomía, documentación y archivos;1.971
Ambos Sexos;Total Universidades Públicas;342 - Marketing y publicidad;18.751
Ambos Sexos;Total Universidades Públicas;343 - Finanzas, banca y seguros;10.638
Ambos Sexos;Total Universidades Públicas;344 - Contabilidad y gestión de impuestos;1.845
Ambos Sexos;Total Universidades Públicas;345 - Administración y gestión de empresas;133.484
Ambos Sexos;Total Universidades Públicas;380 - Derecho;94.959
Ambos Sexos;Total Universidades Públicas;Total Ciencias;117.369
Ambos Sexos;Total Universidades Públicas;421 - Biología y Bioquímica;21.739
Ambos Sexos;Total Universidades Públicas;422 - Ciencias del medio ambiente;15.039
Ambos Sexos;Total Universidades Públicas;440 - Ciencias Físicas, químicas, geológicas;131
Ambos Sexos;Total Universidades Públicas;441 - Física;9.278
Ambos Sexos;Total Universidades Públicas;442 - Química;14.758
Ambos Sexos;Total Universidades Públicas;443 - Geología y meteorología;3.510
Ambos Sexos;Total Universidades Públicas;461 - Matemáticas;8.983
Ambos Sexos;Total Universidades Públicas;462 - Estadística;1.520
