Universidad;Ámbito de estudio ISCED 1999;Total
Total Universidades;Total;1.234.135
Total Universidades;1 - Educación;144.413
Total Universidades;142 - Ciencias de la educación;43.808
Total Universidades;143 - Formación de docentes de enseñanza infantil;27.530
Total Universidades;144 - Formación de docentes de enseñanza primaria;35.919
Total Universidades;145 - Formación de docentes de enseñanza de temas especiales;14.395
Total Universidades;146 - Formación de docentes de formación profesional;22.761
Total Universidades;2 - Artes y humanidades;116.283
Total Universidades;210 - Artes;..
Total Universidades;211 - Bellas artes;26.484
Total Universidades;212 - Música y artes del espectáculo;1.629
Total Universidades;213 - Técnicas audiovisuales y medios de comunicación;10.224
Total Universidades;214 - Diseño;559
Total Universidades;220 - Humanidades;4.197
Total Universidades;222 - Lenguas extranjeras;31.273
Total Universidades;223 - Lenguas y dialectos españoles;11.113
Total Universidades;224 - Historia, filosofía y temas relacionados;269
Total Universidades;225 - Historia y arqueología;23.365
Total Universidades;226 - Filosofía y ética;7.122
Total Universidades;3 - Ciencias sociales, educación comercial y derecho;423.888
Total Universidades;310 - Ciencias sociales y del comportamiento;..
Total Universidades;311 - Psicología;49.192
Total Universidades;312 - Sociología, antropología y geografía social y cultural;21.940
Total Universidades;313 - Ciencias políticas;10.522
Total Universidades;314 - Economía;29.530
Total Universidades;321 - Periodismo;15.713
Total Universidades;322 - Biblioteconomía, documentación y archivos;2.684
Total Universidades;342 - Marketing y publicidad;13.852
Total Universidades;343 - Finanzas, banca y seguros;1.548
Total Universidades;345 - Administración y gestión de empresas;183.610
Total Universidades;347 - Otros estudios referidos al puesto de trabajo;579
Total Universidades;380 - Derecho;94.632
Total Universidades;4 - Ciencias;127.861
Total Universidades;421 - Biología y Bioquímica;23.770
Total Universidades;422 - Ciencias del medio ambiente;13.065
Total Universidades;441 - Física;7.310
Total Universidades;442 - Química;15.051
Total Universidades;443 - Geología y meteorología;4.168
Total Universidades;461 - Matemáticas;7.008
Total Universidades;462 - Estadística;2.504
Total Universidades;481 - Ciencias de la computación;54.702
Total Universidades;482 - Informática en el nivel de usuario;283
Total Universidades;5 - Ingeniería, industria y construcción;228.535
Total Universidades;520 - Ingeniería y profesiones afines;38.199
Total Universidades;521 - Mecánica y metalurgia;23.427
Total Universidades;522 - Electricidad y energía;10.449
Total Universidades;523 - Electrónica y automática;42.015
Total Universidades;524 - Procesos químicos;16.604
Total Universidades;525 - Vehículos de motor, barcos y aeronaves;9.737
Total Universidades;541 - Industria de la alimentación;4.825
Total Universidades;542 - Industria textil, confección, del calzado y piel;253
Total Universidades;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);313
Total Universidades;544 - Minería y extracción;4.218
Total Universidades;581 - Arquitectura y urbanismo;55.922
Total Universidades;582 - Construcción e ingeniería civil;22.573
Total Universidades;6 - Agricultura y veterinaria;25.756
Total Universidades;620 - Agricultura, ganadería y pesca;..
Total Universidades;621 - Producción agrícola y explotación ganadera;9.750
Total Universidades;622 - Horticultura;2.616
Total Universidades;623 - Silvicultura;5.538
Total Universidades;641 - Veterinaria;7.808
Total Universidades;7 - Salud y servicios sociales;127.158
Total Universidades;721 - Medicina;31.223
Total Universidades;723 - Enfermería y atención a enfermos;29.280
Total Universidades;724 - Estudios dentales;4.092
Total Universidades;725 - Tecnología de diagnóstico y tratamiento médico;3.610
Total Universidades;726 - Terapia y rehabilitación;18.654
Total Universidades;727 - Farmacia;17.096
Total Universidades;762 - Trabajo social y orientación;23.203
Total Universidades;8 - Servicios;40.241
Total Universidades;812 - Viajes, turismo y ocio;26.197
Total Universidades;813 - Deportes;12.514
Total Universidades;840 - Servicios de transporte;1.474
Total Universidades;861 - Protección de la propiedad y las personas;..
Universidades Públicas Presenciales;Total;1.090.988
Universidades Públicas Presenciales;1 - Educación;127.141
Universidades Públicas Presenciales;142 - Ciencias de la educación;26.536
Universidades Públicas Presenciales;143 - Formación de docentes de enseñanza infantil;27.530
Universidades Públicas Presenciales;144 - Formación de docentes de enseñanza primaria;35.919
Universidades Públicas Presenciales;145 - Formación de docentes de enseñanza de temas especiales;14.395
Universidades Públicas Presenciales;146 - Formación de docentes de formación profesional;22.761
Universidades Públicas Presenciales;2 - Artes y humanidades;95.827
Universidades Públicas Presenciales;210 - Artes;..
Universidades Públicas Presenciales;211 - Bellas artes;22.937
Universidades Públicas Presenciales;212 - Música y artes del espectáculo;1.629
Universidades Públicas Presenciales;213 - Técnicas audiovisuales y medios de comunicación;10.224
Universidades Públicas Presenciales;214 - Diseño;559
